Comment
DUUAAAAAAAA ✌️🔥🔥
andra soni dan dimyati 02 nomor dua banten menjadi provinsi yang adil dan merata tidak ada ketimpangan
nomor dua di banten sekolah gratis anak-anak di banten bisa bersekolah
no one gonna left behind bersama andra soni dimyati 02 banten maju secara adil dan merata
"kalau kita punya baju simpan diatas lomari, kalau Banten mau maju jangan pilih Dimyati
sakitu Bae di Kula mh"
mantaph bang no.1 juaranya
"jgn gitu bang
lebih baik pilih 01 aja ok ok"
DIM: Masyarakat Banten Jangan Adalagi Yg Menganggur 😁🤣
pandeglang banyak pengangguran😅wkwkw
"imah saling hiji rakyat dikasih gaji perbulan 5jt, tiap2 anak dpt uang saku buat jajan dan uang kuota😁
semua akan disejahterakan😁"
Lagi dongeng ya?
Visi dan misi yang jelas dari Andra Soni pastinya membawa Banten menuju kemajuan yang adil dan merata!
Jelas ngomongnya mah
Dimyati asup angin
Pandeglang geh te kurus. jalan kabupaten Pandeglang ajur Bae
gaspol pilih 01 Airin Ade realistis .well🤗👍
Airin ajah sudah terbukti di Tangsel
Dari dulu udah geratis sekolah sama kesehatan. cm jalan doang di kab Pandeglang yg acak2an.
sekolah mah da emang ges gratis pak..
jangan berandai- andai .
"kalo kita punya baju simpan dalam lemari
klo banten mau maji pilih Ade sumardi
Horeeeeeee"
PANDEGLANG jalannya hadduuhhh 😆
liat Tangsel bupati nya siapah Tangsel maju pak😅
jlan lintas kec di pandeglang masih loba anu ajurrr
jln pndeglng geh ajur ker jadi bupati kumha dek majuna 🤣🤣🤣🤣🤣
masih ada yang percaya kah😂😂😂
andra soni ✌️
andra soni itu dari rakyat. makanya saya yakin mereka bisa bawa banten maju. 02 sip menang #andradimyatimenangdebat
jelas kita pilih sekolah gratis untuk kemajuan banten bersama Andra Soni Dimiyati✌
andra soni dan programnya akan menjadikan banten majuu lebiih dapat bersaingg iniii
pemenang debat Airin adee
orang Pandeglang cuma mesem
"Ketika Andra Soni memimpin, pendidikan merata dan ekonomi yang kuat akan menjadi kenyataan! Mari kita pilih 02 untuk masa depan yang lebih baik!"
"cakeppp, memang andra soni iniii yang akan menjadikan banten provinsi yang terbaik dan bisa tanngguh!"
"program dari pak andra udah jelas kalau beliau mau bawa banten ke arah maju, adil, dan sejahtera. paten 02 #andradimyatimenangdebat"
sudah jelas untuk pembangunan yang maju dan kesejahteraan masyarakat banten cuma pak andra soni yang menjadi gubernur
pilih no 1 ibu Airin pasti maju boss
no one left behind! ga akan salah dehhh kalau memilihh beliauu sebagai pemimpinn baruu bantennn!
